conhecimento,item,tipoembalagem,quantidade,marca,contramarca,tipobloqueio1,motivobloqueio1,justificativabloqueio1,cpfresponsavelbloqueio1,nomeresponsavelbloqueio1,databloqueio1,horabloqueio1,desbloqueadopelotransportador1,cpfresponsaveldesbloqueio1,nomeresponsaveldesbloqueio1,datadesbloqueio1,horadesbloqueio1,justificativadesbloqueio1,tipobloqueio2,motivobloqueio2,justificativabloqueio2,cpfresponsavelbloqueio2,nomeresponsavelbloqueio2,databloqueio2,horabloqueio2,desbloqueadopelotransportador2,cpfresponsaveldesbloqueio2,nomeresponsaveldesbloqueio2,datadesbloqueio2,horadesbloqueio2,justificativadesbloqueio2,tipobloqueio3,motivobloqueio3,justificativabloqueio3,cpfresponsavelbloqueio3,nomeresponsavelbloqueio3,databloqueio3,horabloqueio3,desbloqueadopelotransportador3,cpfresponsaveldesbloqueio3,nomeresponsaveldesbloqueio3,datadesbloqueio3,horadesbloqueio3,justificativadesbloqueio3,tipobloqueio4,motivobloqueio4,justificativabloqueio4,cpfresponsavelbloqueio4,nomeresponsavelbloqueio4,databloqueio4,horabloqueio4,desbloqueadopelotransportador4,cpfresponsaveldesbloqueio4,nomeresponsaveldesbloqueio4,datadesbloqueio4,horadesbloqueio4,justificativadesbloqueio4,quantidadebloqueiosativos,quantidadebloqueiosinativos,indicadorhistoricobloqueio,indicadorhistoricopedidoretificacao,pesobrutoitem(kg),volumeitem(m3),codigomercadoriaperigosa,codigoclassemercadoriaperigosa
151707141382806,0012,peca,0000001,deugro brasil ltda,moving bolster - 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000039000,000","0000000000,000",,
151707141382989,0001,peca,0000001,expeditors international do brasil,e172444-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001790,000","0000000000,000",,
151707141382989,0002,peca,0000001,expeditors international do brasil,e172444-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000029050,000","0000000000,000",,
151707143871154,0001,caixa de outros materiais,0000003,caterpillar brasil ltda,machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000005250,000","0000000013,260",,
151707143871235,0001,caixa de outros materiais,0000005,caterpillar brasil ltda,machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000006013,000","0000000018,070",,
151707143871316,0001,caixa de outros materiais,0000005,caterpillar brasil ltda,machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000006013,000","0000000018,070",,
151707143871405,0001,caixa de outros materiais,0000005,caterpillar brasil ltda,machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000006013,000","0000000018,070",,
151707143871820,0001,caixa de outros materiais,0000003,caterpillar brasil ltda,machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000004537,000","0000000012,790",,
151707141447517,0001,outros,0000007,embraer empresa brasileira de,fuselage and wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000028601,000","0000000745,745",,
151707141566877,0003,outros,0000002,delmar,plataforma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000008473,000","0000000086,955",,
